,,,,,,
1,afraid,"두려운, 무서운",58,innocent,순진한,
2,agreeable,"기분 좋은, 일치하는",59,inspired,감동받은,
3,amazed,놀라운,60,intelligent,지능이 높은,
4,ambitious,야망 있는,61,interested,관심 있는,
5,amused,"즐기는, 흥겨운",62,irritated,"짜증 난, 화난",
6,annoyed,"짜증 난, 성가신",63,jealous,시기하는,
7,appreciated,진심으로 고마운,64,lazy,게으른,
8,ashamed,수치스러운,65,lonely,외로운,
9,bitter,"신랄한, 괴로운",66,mysterious,신비스러운,
10,boastful,"자랑하는, 과장된",67,negative,부정적인,
11,bored,지루한,68,nervous,"초조한, 긴장한",
12,brave,용감한,69,offensive,기분 상한,
13,careful,조심성 있는,70,optimistic,낙관적인,
14,careless,부주의한,71,painful,고통스러운,
15,cheerful,"명랑한, 즐거운",72,passionate,열성적인,
16,clever,명석한,73,patient,참을성 있는,
17,competitive,경쟁적인,74,pessimistic,비관적인,
18,concerned,염려하는,75,pleased,"기쁜, 만족스러운",
19,confident,"자신하는, 확신하는",76,polite,"예의 바른, 공손한",
20,confused,혼란스러운,77,positive,긍정적인,
21,considerate,사려 깊은,78,potential,잠재력 있는,
22,content,만족스러운,79,prejudiced,편견을 가진,
23,convinced,확신하는,80,proud,자랑스러운,
24,courageous,"용감한, 배짱 있는",81,puzzled,당황한,
25,creative,창의적인,82,regretful,"후회하는, 뉘우치는",
26,critical,비판적인,83,reliable,믿을 수 있는,
27,curious,의심하는,84,relieved,"안도하는, 안심하는",
28,defeated,"꺾인, 패배한",85,reluctant,내키지 않는,
29,delightful,"기쁜, 유쾌한",86,respectful,존경스러운,
30,depressed,"낙담한, 우울한",87,ridiculous,우스꽝스러운,
31,desirable,"탐나는, 호감 가는",88,rude,무례한,
32,desperate,자포자기하는,89,satisfied,만족스러운,
33,determined,"단호한, 결연한",90,scared,겁먹은,
34,disappointed,실망한,91,scary,무서운,
35,disgusted,"넌더리 난, 싫증난",92,secretly,"몰래, 은밀히",
36,disinterested,"무관심한, 청렴한",93,selfish,이기적인,
37,embarrassed,당황스러운,94,sensitive,"민감한, 예민한",
38,endurable,견딜 수 있는,95,serious,"심각한, 진지한",
39,enthusiastic,"열광적인, 열렬한",96,shocked,충격받은,
40,envious,부러워하는,97,shy,수줍어하는,
41,excited,"신난, 흥분된",98,silly,바보 같은,
42,frightened,겁에 질린,99,strict,엄격한,
43,frustrated,좌절한,100,stupid,멍청한,
44,furious,"격노한, 격렬한",101,successful,성공적인,
45,generous,"관대한, 마음 넓은",102,surprised,깜짝 놀란,
46,gloomy,"어두운, 침울한",103,suspicious,수상쩍은,
47,grateful,감사하는,104,sympathetic,"동정적인, 인정 있는",
48,greedy,탐욕스러운,105,terrified,"겁먹은, 깜짝 놀란",
49,guilty,죄책감을 느끼는,106,unbelievable,"믿기 어려운, 놀라운",
50,helpless,"무력한, 힘없는",107,uncomfortable,불편한,
51,honest,정직한,108,unconcerned,"무심한, 관련 없는",
52,hopeful,"유망한, 희망찬",109,uninterested,"무심한, 냉담한",
53,humorous,유머러스한,110,unrealistic,비현실적인,
54,impatient,참을성 없는,111,upset,"당황한, 화난",
55,imprudent,"경솔한, 무모한",112,violent,폭력적인,
56,incredible,"믿기 어려운, 대단한",113,wise,지혜로운,
57,indifferent,무관심한,114,worried,걱정되는,